T_envio  , Fuente,  Procedencia, Destino ,T_recibido, retraso, dato 
         80,   3,           4,   4,         260,           9,                   44 
        165,   5,           4,   4,         500,          19,                  162 
         90,   6,           4,   4,         620,           8,                   51 
        205,   5,           4,   4,         740,           7,                   19 
        205,   5,           4,   4,         740,           7,                   19 
        135,   1,           4,   4,         870,          11,                   29 
        120,   2,           4,   4,         990,          11,                   52 
        105,   6,           4,   4,        1360,           2,                  101 
        185,   7,           4,   4,        1480,          14,                  113 
        310,   5,           4,   4,        1610,           1,                   15 
        310,   5,           4,   4,        1610,           1,                   15 
        150,   2,           4,   4,        1730,           5,                  129 
        300,   5,           4,   4,        1980,          18,                   34 
        145,   6,           4,   4,        2100,           7,                  131 
        200,   7,           4,   4,        2220,           2,                    7 
        185,   2,           4,   4,        2360,           6,                  158 
        195,   6,           4,   4,        2730,           9,                   31 
        280,   2,           4,   4,        2880,          18,                   95 
        325,   5,           4,   4,        3130,           2,                   11 
        215,   6,           4,   4,        3250,           3,                  151 
        380,   2,           4,   4,        3400,          19,                   83 
        350,   5,           4,   4,        3650,           4,                   57 
        230,   6,           4,   4,        3770,           2,                  124 
        250,   6,           4,   4,        3960,           3,                  126 
       1585,   7,           4,   4,        5350,          12,                  159 
       1605,   7,           3,   3,        5540,           3,                    0 
       1640,   7,           2,   2,        5730,           6,                  133 
